goodsID,goodsCode,leFoxID,chineseBrandName,englishBrandName,goodsName,goodsSubName,backstageCategory,price,originalPrice,costPrice,buyPrice,lowestPrice,lowestPriceText,stock,onSale,purchaseTypeId,purchaseModeType,timestamp,source,actualPrice,msrp
698b3e1c00116300016c963d,20186868,5193300,雅诗兰黛,ESTÉE LAUDER,沁水盈润养护唇膏,708  甜木瓜/2.8g,美妆护肤-面部护肤-润唇膏,246,291.0,291.0,246,,,9999,True,0,,,pvg,246.0,291.0
694cc3fa56e4f1000101f130,20118667,4879556,魅可,M.A.C,定制无瑕气垫霜（卷王气垫）,N12（中性一白）/12g,美妆护肤-面部彩妆-气垫,272,247.0,247.0,272,,,9999,True,0,,,pvg,247.0,272.0
698b3e244e0c690001df3a17,20187282,5193628,雅诗兰黛,ESTÉE LAUDER,轻透持妆粉底液   第二代DW持妆粉底液,1N0/30ml,美妆护肤-面部彩妆-粉底液/霜,249,417.0,417.0,249,,,9999,True,0,,,pvg,249.0,417.0
694cc2f19cc20b00019bf0a3,20113309,4874414,资生堂,SHISEIDO,鲜润赋活透润霜,50ml,美妆护肤-面部护肤-乳液面霜,304,249.0,249.0,304,,,9999,True,0,,,cream,249.0,304.0
69f2029784016900015867ea,20197802,5384360,雅诗兰黛,ESTÉE LAUDER,白金级花菁萃紧致眼部精华霜双支装 ,15ml*2,美妆护肤-面部护肤-眼霜/眼部精华,1215,249.5,249.5,1215,1094.0,买5件 低至￥1094/件,9999,True,0,,,pvg,249.5,1215.0
698b40a7b25b840001281bb2,20190769,5204918,科颜氏,KIEHLS,精研多重防晒精华乳,50ml,美妆护肤-面部护肤-精华,309,,309.0,250,,,9999,True,0,,,serum,250.0,309.0
694cc26456e4f1000101aa65,20110457,4871576,祖·玛珑,JO MALONE LONDON,车载香熏外壳,111.6g,美妆护肤-香水香氛-家居香氛,278,392.0,392.0,250,,,9999,True,0,,,fragrance,250.0,392.0
694cc3819cc20b00019c07c0,20116190,4877154,娇韵诗,CLARINS,紧致焕颜弹力精华水,200ml,美妆护肤-面部护肤-爽肤水/化妆水,295,408.0,408.0,251,,,9999,True,0,,,pvg,251.0,408.0
694cc31d9cc20b00019bf89e,20114216,4875234,茱莉蔻,JURLIQUE, 玫瑰按摩油,100ml,个护家清-身体护理-润肤油,280,390.0,390.0,252,,,9999,True,0,,,pvg,252.0,390.0
694cc34ff52aff0001125bbb,20115157,4876187,朗仕,LAB SERIES,保湿焕能爽肤水双支装,200ml*2,美妆护肤-面部护肤-爽肤水/化妆水,348,252.0,252.0,348,,,9999,True,0,,,pvg,252.0,348.0
