productId,sku,brandName,brandEnName,productName,price,originalPrice,discount,reducePrice,futurePrice,activityStock,stock,sellNum,limitNum,validStart,exchangePrice,hiddenPrice,specialSale,vipPrice,priceType
p15952576,E10356172,雷朋,RAY-BAN,RAY BAN雷朋太陽鏡 0RB2193902/3151,787,1730.0,4.5,943.0,,1,1,3,0,2026-07-31 00:00:00,733.43,,False,0.0,3
p15858671,E1654911,寶麗萊,Polaroid,POLAROID寶麗萊太陽鏡20731580755M9,421,930.0,4.5,509.0,,1,1,3,0,2026-07-31 00:00:00,392.34,,False,0.0,3
p15952291,E10356165,奧克利,OAKLEY,OAKLEY奧克利太陽鏡 0OO94069406B937,941,2070.0,4.5,1129.0,,1,1,,0,2026-07-31 00:00:00,876.94,,False,0.0,3
p15895014,E1678079,寶麗萊,Polaroid,POLAROID寶麗來太陽鏡207306KJ159Z7,420,930.0,4.5,510.0,,1,1,,0,2026-07-31 00:00:00,391.41,,False,0.0,3
p15894580,E1678094,寶麗萊,Polaroid,POLAROID寶麗來太陽鏡20732780756M9,420,930.0,4.5,510.0,,1,1,,0,2026-07-31 00:00:00,391.41,,False,0.0,3
p15894582,E1654902,寶麗萊,Polaroid,POLAROID寶麗來太陽鏡20730601059M9,420,930.0,4.5,510.0,,1,1,1,0,2026-07-31 00:00:00,391.41,,False,0.0,3
p15858657,E1654900,寶麗萊,Polaroid,POLAROID寶麗萊太陽鏡20733680765M9,420,930.0,4.5,510.0,,2,2,2,0,2026-07-31 00:00:00,391.41,,False,0.0,3
p15894578,E1654914,寶麗萊,Polaroid,POLAROID寶麗來太陽鏡207306J5G59M9,420,930.0,4.5,510.0,,1,1,,0,2026-07-31 00:00:00,391.41,,False,0.0,3
p15952573,E10356159,博柏利,BURBERRY,BURBERRY博柏利太陽鏡 0BE4432U41478754,1230,2730.0,4.5,1500.0,,1,1,,0,2026-07-31 00:00:00,1146.27,,False,0.0,3
p15952579,E10356166,奧克利,OAKLEY,OAKLEY奧克利太陽鏡 0OO407940794959,1062,2360.0,4.5,1298.0,,1,1,,0,2026-07-31 00:00:00,989.71,,False,0.0,3
p15894580,E1678094,寶麗萊,Polaroid,POLAROID寶麗來太陽鏡20732780756M9,420,930.0,4.5,510.0,,1,1,,0,2026-07-31 00:00:00,391.41,,False,0.0,3
p15894578,E1654914,寶麗萊,Polaroid,POLAROID寶麗來太陽鏡207306J5G59M9,420,930.0,4.5,510.0,,1,1,,0,2026-07-31 00:00:00,391.41,,False,0.0,3
p15858663,E1654915,寶麗萊,Polaroid,POLAROID寶麗萊太陽鏡20732635J60LA,420,930.0,4.5,510.0,,1,1,1,0,2026-07-31 00:00:00,391.41,,False,0.0,3
p15952575,E10356161,博柏利,BURBERRY,BURBERRY博柏利太陽鏡 0BE4432U41158754,1230,2730.0,4.5,1500.0,,1,1,,0,2026-07-31 00:00:00,1146.27,,False,0.0,3
p15858312,E1654890,寶麗萊,Polaroid,POLAROID寶麗萊太陽鏡207335KB764M9,420,930.0,4.5,510.0,,1,1,2,0,2026-07-31 00:00:00,391.41,,False,0.0,3
p15801167,C102134,肌膚之鑰,CLE DE PEAU BEAUTE,CPB 肌膚之鑰無瑕遮瑕膏 N6 5g【有效期至：2027年2月】,246,550.0,4.5,304.0,,2,2,44,0,2026-07-31 00:00:00,229.25,,False,0.0,3
p15941380,F119394,月兔牌,月兔牌,月兔牌-蘆薈口腔噴劑 25ml,37,80.0,4.6,43.0,,1,1,12,0,2026-07-31 00:00:00,34.48,,False,0.0,3
p15735889,C035934,伊麗莎白·雅頓,ELIZABETH ARDEN,Elizabeth Arden伊麗莎白雅頓白茶淡香水 100ml,200,432.0,4.6,232.0,,1,1,4,0,2026-07-31 00:00:00,186.39,,False,0.0,3
p15735889,C035934,伊麗莎白·雅頓,ELIZABETH ARDEN,Elizabeth Arden伊麗莎白雅頓白茶淡香水 100ml,200,432.0,4.6,232.0,,1,1,4,0,2026-07-31 00:00:00,186.39,,False,0.0,3
p15824023,C103133,雪肌精,SEKKISEI,SEKKISEI雪肌精逸透完美套裝200ml+140ml,223,480.0,4.6,257.0,,4,4,8,0,2026-07-31 00:00:00,207.82,,False,0.0,3
p15858619,C053041,Boss,Boss,HUGO雨果男士淡香氛 75ml,262,565.0,4.6,303.0,,1,1,2,0,2026-07-31 00:00:00,244.16,,False,0.0,3
p15794668,C101485,莫傑,MARC JACOBS,MARC JACOBS  莫傑雛菊清心女士濃香水 75ml,452,980.0,4.6,528.0,,2,2,3,0,2026-07-31 00:00:00,421.23,,False,0.0,3
p15809673,C105504,雪肌精,SEKKISEI,SEKKISEI  雪肌精逸透純淨水乳套裝,213,457.0,4.7,244.0,,1,1,8,0,2026-07-31 00:00:00,198.5,,False,0.0,3
p15828749,C108003,雪肌精,SEKKISEI,SEKKISEI雪肌精逸透純淨舒潤乳液140ml,127,270.0,4.7,143.0,,8,8,4,0,2026-07-31 00:00:00,118.35,,False,0.0,3
p15742434,C054983,雪肌精,SEKKISEI,SEKKISEI雪肌精優醇菁華水乳霜3件套 200ml+140ml+50ml,625,1332.0,4.7,707.0,,1,1,6,0,2026-07-31 00:00:00,582.45,,False,0.0,3
p15737814,C043469,莫傑,MARC JACOBS,MARC JACOBS莫傑雛菊摯愛蜜語女士淡香氛EDT 50mL,362,775.0,4.7,413.0,,2,2,2,0,2026-07-31 00:00:00,337.36,,False,0.0,3
p15941554,F119391,月兔牌,月兔牌,月兔牌-痱滋膏 10g,31,66.0,4.7,35.0,,3,3,16,0,2026-07-31 00:00:00,28.89,,False,0.0,3
p15809685,C106015,雪肌精,SEKKISEI,SEKKISEI  雪肌精逸透純淨安潤化妝水 200ml,117,248.0,4.7,131.0,,2,2,9,0,2026-07-31 00:00:00,109.04,,False,0.0,3
p15828362,C108005,雪肌精,SEKKISEI,SEKKISEI雪肌精逸透純淨安潤化妝水200ml,122,260.0,4.7,138.0,,5,5,11,0,2026-07-31 00:00:00,113.69,,False,0.0,3
p15952584,E10370634,奧克利,OAKLEY,OAKLEY奧克利太陽鏡0OO924592456554,784,1640.0,4.8,856.0,,2,2,,0,2026-07-31 00:00:00,730.63,,False,0.0,3
p15952584,E10370634,奧克利,OAKLEY,OAKLEY奧克利太陽鏡0OO924592456554,784,1640.0,4.8,856.0,,2,2,,0,2026-07-31 00:00:00,730.63,,False,0.0,3
p15895009,E1678399,莫傑,MARC JACOBS,MARC JACOBS馬克雅克布太陽鏡20696208A549O,668,1350.0,4.9,682.0,,1,1,,0,2026-07-31 00:00:00,622.53,,False,0.0,3
