productId,brandId,productName,price,originalPrice,discount,priceDiscount,activityDiscount,activityStock,stock,sellNum,timeLabel,activityId,activityProductId,categoryId,thirdCategoryId
p15872014,10169,L'OCCITANE歐舒丹草本香菁純臻萃煥活精華油100ml,215,390,5.5,5.5,5.5,1,1,37,,500022565,504138712,3034,3142
p15878941,31878,BIOTHERM 碧歐泉護膚精華眼霜 15ml,400,670,6.0,6.0,6.0,1,1,15,,500022565,504138765,3039,2813
p15737930,14599,HR赫蓮娜活顏修復舒緩面膜 50ML,3195,3195,10.0,10.0,10.0,12,12,32,,500022565,504138768,3022,1097
p15741621,10134,GUCCI 古馳傾色柔紗潤唇膏,390,375,10.4,10.4,10.4,4,4,18,,500022565,504138772,3022,1098
p15830434,10123,ESTEE LAUDER Nutritious 升級亮肌抗氧輕盈保濕乳 100ml,645,645,10.0,10.0,10.0,5,5,12,,500022565,504138780,3022,1091
