productId,brandId,productName,price,originalPrice,discount,priceDiscount,activityDiscount,activityStock,stock,sellNum,timeLabel,activityId,activityProductId,categoryId,thirdCategoryId
p15739855,31887,CLINIQUE倩碧勻淨卓研煥亮隔離露30ml SPF45 PA+++,169,240,169,7.0,7.0,1,1,6,距結束31天,500022565,504138833,3022,1092
p15738466,31878,BIOTHERM 碧歐泉男士保濕爽膚水 200ml,243,435,243,5.6,5.6,2,2,3,距結束31天,500022565,504138863,3022,1090
p15857265,20490,KIEHL'S科顏氏高保濕屏障修護膏 9G,157,280,157,5.6,5.6,3,3,24,距結束31天,500022565,504138869,3022,1093
p15781910,10123,ESTEE LAUDER雅詩蘭黛Advanced Night Repair升級再生基因修復眼面套裝50ml + 15ml,662,1325,662,5.0,5.0,11,11,49,距結束31天,500022565,504138882,3022,1100
p15869029,31887,Clinique倩碧淨顏潔膚水200ml,112,215,112,5.2,5.2,2,2,4,距結束31天,500022565,504138887,3022,1088
p15882351,10103,Clinique倩碧潤膚乳-清爽型,190,370,190,5.1,5.1,3,3,3,距結束31天,500022565,504138889,3022,1091
p15890631,13157,L'oreal 歐萊雅複顏玻尿酸水光充盈套裝,280,495,280,5.7,5.7,6,6,,距結束31天,500022565,504138891,3022,1100
p15869793,10197,ORIGINS咖啡因煥亮精華,203,425,203,4.8,4.8,6,6,6,距結束31天,500022565,504138900,3022,1096
p15738357,14599,HR赫蓮娜夜間修護睡眠晚霜 50ml,1024,1835,1024,5.6,5.6,2,2,26,距結束31天,500022565,504138933,3022,1093
p15919672,31809,可复美重组胶原蛋白肌御修护次抛精华液 1.5mL×5 packs,35,109,35,3.2,3.2,11,11,33,距結束31天,500022565,504138942,3022,1096
p15809679,10123,Estee Lauder 雅詩蘭黛白金級奢寵蘊能黑鑽奢華乳霜-50ML 雕琢輪廓 | 逆揚生 | 熠透鑽光,2325,4645,2325,5.0,5.0,2,2,13,距結束31天,500022565,504138954,3022,1093
p15868119,10162,LANCOME蘭蔻菁純臻顏精華乳液-100ml,1472,2660,1472,5.5,5.5,6,6,10,距結束31天,500022565,504138995,3022,1091
p15740747,10162,LANCOME蘭蔻黑金臻寵精華乳 30ml,2558,4600,2558,5.6,5.6,6,6,6,距結束31天,500022565,504138996,3022,1091
p15738140,31878,BIOTHERM 碧歐泉男士水動力清爽保濕凝露 200ml,165,290,165,5.7,5.7,5,5,27,距結束31天,500022565,504138998,3022,1090
p15839629,13157,L'OREAL歐萊雅複顏清乳柔膚水 130ml,120,210,120,5.7,5.7,5,5,8,距結束31天,500022565,504139001,3022,1090
p15872014,10169,L'OCCITANE歐舒丹草本香菁純臻萃煥活精華油,114,390,114,2.9,2.9,7,10,27.0,距結束31天,500022565,504138712,3034,3142
p15735295,31878,BIOTHERM 碧歐泉凝乳絲滑潤體乳 400ml,113,375,113,3.0,3.0,16,16,27.0,距結束31天,500022565,504138716,3028,2269
