product_id,activity_product_id,brand_id,brand,brand_en,name,category,subcategory,price,original_price,discount,stock,activity_stock,sell_num,activity_id,activity_type,catalog_id,sku
p15737196,504207818.0,14721,祖瑪瓏,JO MALONE LONDON,JO MALONE祖·瑪瓏瓏香水(青檸羅勒與柑橘香型)30ml,3037,3204,342,640.0,5.3,1,1,4,500022953.0,3,c85549508,C030054
p15736708,504207752.0,14721,祖瑪瓏,JO MALONE LONDON,JO MALONE祖·瑪瓏黑石榴香水30毫升,3037,3204,348,640.0,5.4,1,1,1,500022953.0,3,c85548462,C030078
p15737544,504207753.0,14721,祖瑪瓏,JO MALONE LONDON,JO MALONE祖·瑪瓏香水(牡丹與胭紅麂絨香型)30毫升,3037,3204,348,640.0,5.4,1,1,3,500022953.0,3,c85549405,C030071
p15919487,504207754.0,14721,祖瑪瓏,JO MALONE LONDON,Jo Malone祖瑪瓏黃金大麥香氛蠟燭‌（200克/7盎司）‌,3037,1525,333,555.0,6.0,1,1,2,500022953.0,3,c85763445,C121544
p15737610,504207755.0,10174,魅可,MAC,MAC魅可3D立體睫毛膏,3038,2203,160,270.0,5.9,1,1,2,500022953.0,3,c85549475,C040655
p15740340,504207823.0,10174,魅可,MAC,MAC魅可絲緞柔霧唇膏/口紅 3g,3016,2195,108,200.0,5.4,1,1,21,500022953.0,3,c85553507,C041863
p15764594,504207756.0,10174,魅可,MAC,MAC魅可時尚焦點小眼影 0,3038,2217,61,110.0,5.5,1,1,2,500022953.0,3,c85580125,C049334
p15737670,504207824.0,10174,魅可,MAC,MAC魅可24小時持久遮瑕乳7ML,3021,2220,153,280.0,5.5,1,1,14,500022953.0,3,c85550038,C045113
p15736407,504207825.0,10174,魅可,MAC,MAC魅可感光粉底液按壓嘴,3013,1141,19,35.0,5.4,1,1,9,500022953.0,3,c85549021,C031753
p15919641,504207758.0,10174,魅可,MAC,MAC魅可節日限定高光碟03,3021,2219,186,310.0,6.0,1,1,,500022953.0,3,c85763816,C120335
p15884711,504207759.0,10174,魅可,MAC,MAC魅可晶亮液體腮紅01 4.30ml,3021,2213,152,240.0,6.3,1,1,,500022953.0,3,c85726129,C116276
p15885184,504207762.0,10174,魅可,MAC,MAC魅可絲柔啞光唇膏629 BARE M·A·CXIMAL 深色調濃郁朱古力棕色3.5g,3016,2195,104,190.0,5.5,1,1,,500022953.0,3,c85726139,C116122
p15743205,504207698.0,10174,魅可,MAC,MAC魅可立體絨光修容餅 9g,3021,2219,221,360.0,6.1,2,2,15,500022953.0,3,c85557086,C040630
p15743264,,10174,魅可,MAC,MAC魅可時尚焦點小眼影 0,3038,2217,110,,,1,0,5,,0,c85556653,C049320
p15830846,504208265.0,12469,湯姆福特,TOM FORD,TOM FORD湯姆福特濃香水(啡縈珍瑰香型) 100ml,3037,2352,1052,1835.0,5.7,1,1,4,500022953.0,3,c85656182,C107916
p15896528,504207768.0,12469,湯姆福特,TOM FORD,Tom Ford湯姆福特璀璨流光唇頰多用棒-01,3021,2213,257,395.0,6.5,1,1,,500022953.0,3,c85739665,C118215
